Number of job, number of machines 
20			13
 Processing times: 
74	21	58	4	21	28	58	83	31	61	94	44	97	94	66	6	37	22	99	83	
47	36	35	48	59	45	58	63	27	57	62	48	67	54	84	32	51	32	52	64	
28	3	27	61	34	76	64	87	54	98	76	41	70	43	42	79	88	15	49	72	
89	52	56	13	7	32	32	98	46	60	23	87	7	36	26	85	7	34	36	48	
60	88	26	58	76	98	29	47	79	26	19	48	95	78	77	90	24	10	85	55	
54	66	12	57	70	82	99	84	16	41	23	11	68	58	30	5	5	39	58	31	
92	11	54	97	57	53	65	77	51	36	53	19	54	86	40	56	79	74	24	3	
9	8	88	72	27	22	50	2	49	82	93	96	43	13	60	11	37	91	84	67	
40	40	56	51	66	65	36	63	43	67	51	41	60	45	64	38	27	46	54	63	
4	18	25	28	95	51	84	18	6	90	69	61	57	5	75	4	38	28	4	80	
45	48	51	57	57	62	56	58	53	58	53	57	66	61	71	36	40	23	64	72	
25	15	91	49	56	10	62	70	76	99	58	83	84	64	74	14	18	48	96	86	
15	84	8	30	95	79	9	91	76	26	42	66	70	91	67	3	98	4	71	62	
