Number of job, number of machines 
20			10
 Processing times: 
74	21	58	4	21	28	97	83	31	61	94	44	6	94	66	99	58	22	37	83	
28	3	27	61	34	76	70	87	54	98	76	41	79	43	42	49	64	15	88	72	
89	52	56	13	7	32	7	98	46	60	23	87	85	36	26	36	32	34	7	48	
60	88	26	58	76	98	95	47	79	26	19	48	90	78	77	85	29	10	24	55	
54	66	12	57	70	82	68	84	16	41	23	11	5	58	30	58	99	39	5	31	
92	11	54	97	57	53	54	77	51	36	53	19	56	86	40	24	65	74	79	3	
9	8	88	72	27	22	43	2	49	82	93	96	11	13	60	84	50	91	37	67	
4	18	25	28	95	51	57	18	6	90	69	61	4	5	75	4	84	28	38	80	
25	15	91	49	56	10	84	70	76	99	58	83	14	64	74	96	62	48	18	86	
15	84	8	30	95	79	70	91	76	26	42	66	3	91	67	71	9	4	98	62	
