Number of job, number of machines 
20			10
 Processing times: 
74	21	58	4	21	28	97	83	31	61	94	44	37	94	66	6	58	22	99	83	
28	3	27	61	34	76	70	87	54	98	76	41	88	43	42	79	64	15	49	72	
89	52	56	13	7	32	7	98	46	60	23	87	7	36	26	85	32	34	36	48	
60	88	26	58	76	98	95	47	79	26	19	48	24	78	77	90	29	10	85	55	
54	66	12	57	70	82	68	84	16	41	23	11	5	58	30	5	99	39	58	31	
92	11	54	97	57	53	54	77	51	36	53	19	79	86	40	56	65	74	24	3	
9	8	88	72	27	22	43	2	49	82	93	96	37	13	60	11	50	91	84	67	
4	18	25	28	95	51	57	18	6	90	69	61	38	5	75	4	84	28	4	80	
25	15	91	49	56	10	84	70	76	99	58	83	18	64	74	14	62	48	96	86	
15	84	8	30	95	79	70	91	76	26	42	66	98	91	67	3	9	4	71	62	
