Number of job, number of machines 
20			10
 Processing times: 
74	21	58	4	21	28	37	83	31	61	94	44	97	94	66	6	58	22	99	83	
28	3	27	61	34	76	88	87	54	98	76	41	70	43	42	79	64	15	49	72	
89	52	56	13	7	32	7	98	46	60	23	87	7	36	26	85	32	34	36	48	
60	88	26	58	76	98	24	47	79	26	19	48	95	78	77	90	29	10	85	55	
54	66	12	57	70	82	5	84	16	41	23	11	68	58	30	5	99	39	58	31	
92	11	54	97	57	53	79	77	51	36	53	19	54	86	40	56	65	74	24	3	
9	8	88	72	27	22	37	2	49	82	93	96	43	13	60	11	50	91	84	67	
4	18	25	28	95	51	38	18	6	90	69	61	57	5	75	4	84	28	4	80	
25	15	91	49	56	10	18	70	76	99	58	83	84	64	74	14	62	48	96	86	
15	84	8	30	95	79	98	91	76	26	42	66	70	91	67	3	9	4	71	62	
