Number of job, number of machines 
20			10
 Processing times: 
74	21	41	4	9	28	58	74	11	61	87	44	97	94	66	6	37	22	99	83	
28	3	27	61	34	76	64	87	54	98	76	41	70	43	42	79	88	15	49	89	
89	52	56	13	7	32	32	98	46	75	23	62	7	36	26	85	7	13	36	48	
60	88	38	58	76	98	29	46	79	26	19	48	95	78	77	90	24	20	72	55	
25	66	12	57	24	114	120	84	16	62	23	21	68	58	30	5	5	39	58	31	
102	11	54	97	57	53	65	77	18	36	41	19	54	86	40	56	79	74	24	3	
9	8	88	66	27	22	71	2	49	82	116	96	43	13	60	47	37	91	84	2	
4	18	25	28	95	51	84	18	94	90	69	61	22	10	72	4	38	28	4	80	
25	15	100	49	36	10	62	66	76	99	58	83	84	64	74	14	18	48	96	86	
15	61	8	30	71	79	9	91	76	26	42	66	70	91	75	3	119	4	71	62	
