Number of job, number of machines 
20			10
 Processing times: 
74	21	16	4	19	28	69	83	31	61	94	44	90	117	66	27	37	33	99	58	
28	15	27	61	34	76	64	68	54	98	76	41	70	24	42	123	88	15	49	88	
89	52	56	13	7	58	32	98	46	60	23	87	7	20	35	130	7	34	36	48	
60	88	1	58	76	63	29	37	79	75	19	48	95	78	77	217	15	10	104	55	
54	66	37	57	70	129	79	107	11	8	23	0	68	58	52	5	5	51	58	31	
92	11	71	77	57	53	65	74	74	36	53	20	54	86	4	56	79	74	24	3	
9	8	88	72	12	22	50	2	49	82	93	96	87	13	60	11	106	91	84	88	
50	18	22	28	95	51	59	18	6	90	88	94	57	99	91	4	38	18	4	80	
25	40	91	74	158	10	62	70	76	145	58	83	84	64	84	94	18	48	96	86	
50	46	8	14	95	79	6	91	76	26	42	66	58	91	67	50	116	4	71	62	
