Number of job, number of machines 
20			10
 Processing times: 
49	3	16	4	27	7	40	83	31	55	93	44	64	117	104	27	37	29	99	58	
28	15	42	46	8	76	51	68	63	98	81	41	104	34	42	82	88	15	49	94	
67	74	56	13	7	78	32	140	2	60	23	87	7	18	26	130	46	25	81	48	
60	68	42	58	102	33	12	25	83	75	84	48	56	101	77	217	38	2	101	65	
54	52	37	79	70	129	79	107	11	8	11	0	68	47	52	39	5	51	58	32	
77	11	71	77	57	53	79	126	72	36	10	20	88	89	32	56	76	74	24	3	
26	8	43	72	12	22	50	44	58	82	110	55	87	36	85	90	106	91	30	70	
50	18	22	25	105	51	69	18	6	123	88	81	57	59	108	59	33	18	16	80	
19	36	91	66	189	38	76	103	20	145	39	26	55	64	83	64	83	12	90	86	
55	46	37	29	126	79	6	145	76	49	42	53	58	114	67	50	116	43	54	56	
